Model,RMSE,MAE,R²,MAPE (%),Dir. Acc. (%),Sharpe Ratio
Random Forest,27.37486402012294,17.499441228698128,0.8647678032448443,9.398937162814834,87.6068376068376,3.369774020715075
Linear Regression,64.0875160486844,40.90759889382867,0.2588211120867884,19.853054402046002,62.82051282051282,2.495454169235919
